No,Kode PT,Nama Institusi,Klaster,Sinta Score Overall,Sinta Score 3Yr,Sinta ID Link
1,2003,Institut Pertanian Bogor,Mandiri,0,3,428
2,2001,Institut Teknologi Bandung,Mandiri,0,3,379
3,2002,Institut Teknologi Sepuluh Nopember,Mandiri,0,3,417
4,51013,Universitas Ahmad Dahlan,Mandiri,0,3,386
5,1004,Universitas Airlangga,Mandiri,0,3,380
6,1006,Universitas Andalas,Mandiri,0,3,394
7,1030,Universitas Bengkulu,Mandiri,0,3,402
8,31038,Universitas Bina Nusantara,Mandiri,0,3,388
9,1019,Universitas Brawijaya,Mandiri,0,3,404
10,71071,Universitas Ciputra Surabaya,Mandiri,0,3,2098
11,1008,Universitas Diponegoro,Mandiri,0,3,27
12,1001,Universitas Gadjah Mada,Mandiri,0,3,384
13,1005,Universitas Hasanuddin,Mandiri,0,3,385
14,1002,Universitas Indonesia,Mandiri,0,3,430
15,51001,Universitas Islam Indonesia,Mandiri,0,3,382
16,171006,Universitas Islam Riau,Mandiri,0,3,2893
17,1020,Universitas Jambi,Mandiri,0,3,491
18,1025,Universitas Jember,Mandiri,0,3,406
19,1023,Universitas Jenderal Soedirman,Mandiri,0,3,7
20,31007,Universitas Katolik Indonesia Atma Jaya,Mandiri,0,3,409
21,71002,Universitas Kristen Petra,Mandiri,0,3,408
22,61001,Universitas Kristen Satya Wacana,Mandiri,0,3,13
23,1010,Universitas Lambung Mangkurat,Mandiri,0,3,439
24,1026,Universitas Lampung,Mandiri,0,3,398
25,1046,Universitas Malikussaleh,Mandiri,0,3,507
26,1016,Universitas Mataram,Mandiri,0,3,399
27,31019,Universitas Mercu Buana,Mandiri,0,3,1066
28,71024,Universitas Muhammadiyah Malang,Mandiri,0,3,2053
29,71060,Universitas Muhammadiyah Sidoarjo,Mandiri,0,3,551
30,61008,Universitas Muhammadiyah Surakarta,Mandiri,0,3,27
31,51007,Universitas Muhammadiyah Yogyakarta,Mandiri,0,3,1872
32,1047,Universitas Negeri Gorontalo,Mandiri,0,3,508
33,1037,Universitas Negeri Jakarta,Mandiri,0,3,435
34,1036,Universitas Negeri Makassar,Mandiri,0,3,436
35,1033,Universitas Negeri Malang,Mandiri,0,3,438
36,1040,Universitas Negeri Medan,Mandiri,0,3,500
37,1032,Universitas Negeri Padang,Mandiri,0,3,497
38,1041,Universitas Negeri Semarang,Mandiri,0,3,9
39,1039,Universitas Negeri Surabaya,Mandiri,0,3,499
40,1038,Universitas Negeri Yogyakarta,Mandiri,0,3,388
41,1007,Universitas Padjadjaran,Mandiri,0,3,481
42,1048,Universitas Pendidikan Ganesha,Mandiri,0,3,509
43,1034,Universitas Pendidikan Indonesia,Mandiri,0,3,414
44,1017,Universitas Riau,Mandiri,0,3,415
45,1012,Universitas Sam Ratulangi,Mandiri,0,3,2043
46,1027,Universitas Sebelas Maret,Mandiri,0,3,8
47,1009,Universitas Sriwijaya,Mandiri,0,3,440
48,1042,Universitas Sultan Ageng Tirtayasa,Mandiri,0,3,501
49,1003,Universitas Sumatera Utara,Mandiri,0,3,441
50,71004,Universitas Surabaya,Mandiri,0,3,403
51,1011,Universitas Syiah Kuala,Mandiri,0,3,442
52,1022,Universitas Tanjungpura,Mandiri,0,3,475
53,31015,Universitas Tarumanagara,Mandiri,0,3,476
54,41057,Universitas Telkom,Mandiri,0,3,1093
55,31016,Universitas Trisakti,Mandiri,0,3,477
56,1013,Universitas Udayana,Mandiri,0,3,433
57,32016,Institut Bio Scientia Internasional Indonesia,Utama,0,0,1122
58,42016,Institut Bisnis dan Informatika Kesatuan,Utama,0,3,1511
